0.252929 0.283775 0.191392 0.448941 0.609643 1.30822 0.165166 0.700019
0.298734 0.398535 0.139866 0.494411 0.015747 0.790073 0.095876 0.561368
0.302943 0.841245 0.0891647 0.73344 1.14713 1.92847 0.107805 0.872801
0.337946 1.50102 0.205718 0.490194 1.72675 2.56678 1.01082 0.747226
0.360678 0.485988 0.443033 0.734004 0.387431 0.491029 0.248016 0.674654
0.454354 0.489696 0.104899 0.497689 0.288474 1.32793 0.00799306 0.680361
0.435138 0.739304 0.0161877 0.0391669 0.0594303 0.946667 0.700137 0.322085
0.354264 0.755004 0.307025 0.784426 0.216853 1.08444 0.0294219 0.701545
0.292142 0.438771 0.19485 0.294715 0.240496 0.522861 0.144056 0.450979
0.447934 0.586809 0.138236 0.392975 0.360387 1.38868 0.193833 0.615454
