0.705045 1.96234 6.74012 7.56039 14.7374 8.54182 15.5149
0.719717 2.08051 7.46618 7.96023 16.2687 10.9936 16.5067
0.740699 2.29703 8.61258 8.48827 17.2897 9.63699 16.5798
0.715232 2.03903 7.77665 9.32326 19.0035 11.3568 17.6154
0.660939 1.70855 7.84055 7.92043 16.7725 9.27246 16.0178
0.67096 1.75738 7.80654 7.95583 16.6 9.2709 15.9528
0.749284 2.43299 7.63171 7.89906 15.9043 9.52733 16.5721
0.753961 2.52842 8.10995 7.99351 16.278 10.2166 16.1822
0.681563 1.81492 7.93574 8.21664 16.4841 9.12433 16.9645
0.695058 1.89345 7.57393 7.60774 15.4157 8.68179 15.8364
0.653599 1.67082 8.07132 8.89865 17.4745 9.84885 17.5048
