0.867919 4.35254 4.4689 5.06618 9.84646 7.33952 9.7426
0.867435 4.0795 4.19427 3.90503 7.96713 6.14583 8.18892
0.867852 3.77588 3.53648 4.38448 8.49884 6.30716 11.2459
0.868602 5.08082 3.87254 4.59938 10.0265 7.22516 9.2109
0.868012 4.22499 3.63038 5.25786 9.70865 7.43444 10.7642
0.867436 3.95767 4.69478 6.8147 13.0028 9.90417 12.4283
0.867871 4.57346 3.89275 4.59632 9.18953 7.62268 9.20404
0.867328 5.13995 3.94933 4.68742 9.07289 7.54713 9.12904
0.868668 4.5319 3.69176 4.50029 8.60772 6.76631 9.76364
0.868582 3.79277 5.0633 4.7961 9.76886 7.59986 9.14054
0.867844 4.05642 4.24617 4.42445 8.76471 6.45489 8.82807
0.868191 3.93448 4.20889 5.36092 10.147 7.66376 11.2054
