3.68139 3.71005 0.171974 0.343947 4.34062 3.02225 4.054 0.253021
3.69534 3.71193 0.0327991 0.315372 3.29778 4.09299 3.39656 0.499216
3.20642 3.69412 0.0280463 0.0642677 2.59835 3.81475 3.62986 0.33732
3.19155 3.61586 0.157043 0.666483 1.78667 4.59671 2.94938 0.866721
3.49333 3.76549 0.170693 0.335686 3.89824 3.08856 4.10118 0.253601
3.50951 3.57281 0.703325 0.525686 4.32718 2.69198 3.04712 0.756992
3.28351 4.44307 0.239078 0.558834 1.08696 5.48028 3.88423 0.836069
3.37107 3.64859 0.489179 1.11436 1.00082 5.7415 2.53423 1.60703
3.1041 3.20466 0.0654972 0.441848 2.4307 3.77785 2.76281 0.610258
2.83039 2.83111 0.414139 0.532172 3.12577 2.53565 2.29894 0.591878
2.88193 3.29599 0.327206 0.082677 3.20495 2.55947 3.37867 0.400262
