0.8685 4.43698 4.70536 5.1394 10.6283 8.92231 9.68902
0.868497 4.14858 4.73238 5.09238 10.1841 7.17612 10.2642
0.869002 5.82234 4.67301 4.67157 9.64158 8.26109 8.82981
0.868551 5.18847 5.36922 5.11597 10.7325 7.72396 10.4871
0.868434 4.46665 4.43159 5.61268 10.6791 8.27252 11.8095
0.868823 4.29369 4.10478 4.59538 10.8374 6.80395 8.90706
0.868955 4.63409 3.78629 5.07736 10.3503 8.18708 8.87821
0.868786 4.6641 5.75403 5.48583 11.1119 9.36242 11.2654
0.868567 4.2414 4.86698 4.92066 9.86024 7.59203 9.9042
0.868907 4.93908 4.68052 5.47543 11.2182 8.1475 10.8644
